year,share_femmes,share_hommes
1970,0.3360194398905213,0.6639805601094787
1980,0.3616215240108929,0.6383784759891071
1990,0.38772840825565286,0.6122715917443471
2e3,0.4179060288616621,0.5820939711383379
2010,0.4515674730261407,0.5484325269738592
2013,0.455306304133459,0.5446936958665409
2016,0.4596694529787681,0.5403305470212318
